,Creative ID,channel,funnel,publisher,lob,product,theme,kpi_audience,creative_versions,price,price_placement,discount,offer_placement,offer_group,asset_type,video_type,length,size,spend,CTR,CVRS,CVRBF,CVRSV
0,Creative 1,1,1,0,0,1,0,0,0,0,5,0.0,7,0,8,4,4,12,318.7692307692308,0.5423076923076924,0.0,0.0,0.0
1,Creative 2,0,1,10,0,1,0,8,0,0,5,0.0,7,0,1,2,6,1,2.7142857142857144,0.3,0.0,0.0,0.24285714285714288
2,Creative 3,0,1,10,0,1,0,8,0,0,5,0.0,7,0,1,2,6,3,13.142857142857142,0.51,0.0,15.138571428571428,0.2714285714285714
3,Creative 4,0,1,10,0,1,0,8,0,0,5,0.0,7,0,1,2,6,4,1.1666666666666667,1.3666666666666665,0.0,0.0,0.27666666666666667
4,Creative 5,0,1,10,0,1,0,8,0,0,5,0.0,7,0,1,2,6,5,12.142857142857142,0.24571428571428575,0.0,0.0,0.23714285714285716
5,Creative 6,0,1,10,0,1,0,8,0,0,5,0.0,7,0,1,2,6,9,3.142857142857143,0.7714285714285715,0.0,0.0,0.26857142857142857
6,Creative 7,0,1,10,0,3,0,8,6,1,5,10.0,7,0,1,2,6,3,1.2,1.3980000000000001,0.0,0.0,0.55
7,Creative 8,0,1,10,0,3,0,8,6,1,5,10.0,7,0,1,2,6,5,1.4,0.762,0.0,0.0,0.784
8,Creative 9,1,1,11,0,1,0,8,0,0,5,0.0,7,0,8,4,4,12,2953.3333333333335,0.2888888888888889,0.2544444444444444,25.068888888888885,0.12444444444444445
9,Creative 10,1,1,12,0,1,0,8,0,0,5,0.0,7,0,8,4,4,12,447.22222222222223,0.5633333333333334,0.21555555555555556,27.128888888888888,0.06999999999999999
10,Creative 11,1,1,13,0,1,0,8,0,0,5,0.0,7,0,8,4,4,12,94.44444444444444,0.26,0.0,12.347777777777777,0.10111111111111111
11,Creative 12,1,0,13,0,2,0,8,6,1,5,0.0,7,0,8,4,4,12,1.0,0.0,0.0,0.0,0.0
12,Creative 13,1,0,13,0,2,0,0,6,1,2,10.0,2,0,8,4,4,12,8.2,0.16199999999999998,0.0,0.0,0.0
13,Creative 14,1,0,13,0,2,0,8,6,1,2,10.0,2,0,8,4,4,12,10.2,0.082,0.0,0.0,0.08
14,Creative 15,1,0,13,0,3,0,0,6,1,2,10.0,2,0,8,4,4,12,10.0,0.0,0.0,0.0,0.0
15,Creative 16,1,0,13,0,3,0,8,6,1,2,10.0,2,0,8,4,4,12,9.5,0.135,0.0,0.0,0.0
16,Creative 17,1,0,0,0,3,0,0,6,1,2,10.0,2,0,8,4,4,12,2.0,0.0,0.0,0.0,0.0
17,Creative 18,1,1,11,0,1,0,8,0,0,4,0.0,5,0,8,4,4,12,4594.5,0.262,0.172,12.18,0.05
18,Creative 19,1,1,12,0,1,0,8,0,0,4,0.0,5,0,8,4,4,12,520.6,0.518,0.17800000000000002,13.103,0.05700000000000001
19,Creative 20,1,1,13,0,1,0,8,0,0,5,0.0,7,0,8,6,4,12,143.8,0.17,0.0,9.568,0.092
20,Creative 21,1,1,13,0,1,0,8,0,0,4,0.0,5,0,8,4,4,12,136.83333333333334,0.26499999999999996,0.0,3.641666666666667,0.016666666666666666
21,Creative 22,1,0,11,0,3,0,8,6,1,2,10.0,2,0,8,4,4,12,48.4,0.256,0.0,175.996,0.036
22,Creative 23,1,0,13,0,3,0,8,6,1,2,10.0,2,0,8,4,4,12,2.4,0.324,0.0,0.0,0.0
23,Creative 24,1,1,0,0,1,0,0,0,0,4,0.0,5,0,8,4,4,12,4.0,0.425,0.0,0.0,0.0
24,Creative 25,0,1,10,0,3,0,8,6,1,2,10.0,2,0,1,2,6,3,1.0,1.88,0.0,0.0,0.63
25,Creative 26,0,1,10,0,3,0,8,6,1,2,10.0,2,0,1,2,6,5,1.0,0.0,0.0,0.0,1.29
26,Creative 27,0,1,10,0,1,0,8,0,0,2,0.0,2,0,1,2,6,1,1.3333333333333333,1.8766666666666667,0.0,0.0,0.0
27,Creative 28,0,1,10,0,1,0,8,0,0,2,0.0,2,0,1,2,6,3,7.333333333333333,0.5966666666666667,0.0,0.0,0.23
28,Creative 29,0,1,10,0,1,0,8,0,0,2,0.0,2,0,1,2,6,4,1.5,0.585,0.0,0.0,0.0
29,Creative 30,0,1,10,0,1,0,8,0,0,2,0.0,2,0,1,2,6,5,7.5,0.19833333333333333,0.0,0.0,0.215
30,Creative 31,0,1,10,0,1,0,8,0,0,2,0.0,2,0,1,2,6,9,2.2,1.022,0.0,0.0,0.446
31,Creative 32,1,0,11,0,3,0,8,6,2,2,0.0,5,0,8,4,4,12,40.333333333333336,0.36833333333333335,0.0,129.33166666666668,0.13833333333333334
32,Creative 33,1,0,11,0,3,0,8,6,3,2,0.0,5,0,8,4,4,12,40.0,0.5685714285714286,2.315714285714286,198.3442857142857,0.15
33,Creative 34,1,1,11,0,2,0,8,0,0,2,0.0,2,0,8,4,4,12,16443.3,0.6199999999999999,0.18600000000000003,19.053000000000004,0.19899999999999998
34,Creative 35,1,1,11,0,2,0,8,0,0,5,0.0,7,0,8,6,4,12,11559.8,0.522,0.0,15.52,0.16799999999999998
35,Creative 36,1,1,12,0,2,0,8,0,0,2,0.0,2,0,8,4,4,12,11594.7,0.46299999999999997,0.395,40.826,0.07300000000000002
36,Creative 37,1,1,12,0,2,0,8,0,0,5,0.0,7,0,8,6,4,12,3671.8,0.46399999999999997,0.37,69.74,0.074
37,Creative 38,1,1,13,0,2,0,8,0,0,5,0.0,7,0,8,6,4,12,2447.733333333333,0.2033333333333334,0.06466666666666666,9.841333333333335,0.03933333333333333
38,Creative 39,1,0,11,0,3,0,8,6,1,2,15.0,2,0,8,4,4,12,52.333333333333336,0.14666666666666667,0.0,0.0,0.04
39,Creative 40,1,0,11,0,3,0,9,6,1,2,15.0,2,0,8,4,4,12,261.14285714285717,1.4042857142857144,2.0757142857142856,181.67,0.9400000000000002
40,Creative 41,0,2,10,0,3,0,8,6,3,5,,7,0,6,2,6,1,4.0,0.0,0.0,8.053333333333333,0.30000000000000004
41,Creative 42,0,2,10,0,3,0,8,6,3,5,,7,0,6,2,6,3,18.0,0.02666666666666667,1.19,4.323333333333333,0.22
42,Creative 43,0,2,10,0,3,0,8,6,3,5,,7,0,6,2,6,4,1.5,0.15,0.0,0.0,0.245
43,Creative 44,0,2,10,0,3,0,8,6,3,5,,7,0,6,2,6,5,11.666666666666666,0.013333333333333334,0.0,3.52,0.09000000000000001
44,Creative 45,0,2,10,0,3,0,8,6,3,5,,7,0,6,2,6,9,4.666666666666667,0.0,0.0,4.116666666666666,0.14666666666666667
45,Creative 46,0,2,10,0,3,0,8,6,3,5,,7,0,6,2,6,3,1.0,0.0,0.0,4.28,0.24
46,Creative 47,1,0,11,0,3,0,8,6,1,2,20.0,0,0,8,4,4,12,3.0,0.375,0.0,0.0,0.0
47,Creative 48,1,0,11,0,3,0,9,6,1,2,20.0,0,0,8,4,4,12,1161.4,0.33199999999999996,1.932,224.19,0.194
48,Creative 49,1,0,11,0,3,0,8,6,1,2,20.0,5,0,8,4,4,12,2.0,0.0,0.0,0.0,0.0
49,Creative 50,1,0,11,0,3,0,9,6,1,2,20.0,5,0,8,4,4,12,1186.5555555555557,0.23111111111111113,1.5322222222222222,109.83444444444444,0.1222222222222222
50,Creative 51,1,1,11,0,1,0,8,0,0,5,0.0,7,0,8,6,4,12,14339.666666666666,0.3916666666666666,0.0,16.718333333333334,0.13166666666666668
51,Creative 52,1,1,12,0,1,0,8,0,0,5,0.0,7,0,8,6,4,12,3916.6666666666665,0.4766666666666667,0.3688888888888888,80.36444444444444,0.11888888888888889
52,Creative 53,1,1,13,0,1,0,8,0,0,5,0.0,7,0,8,6,4,12,933.1111111111111,0.21666666666666665,0.3222222222222222,14.822222222222223,0.026666666666666665
53,Creative 54,1,1,11,0,1,0,8,0,0,5,0.0,7,0,8,6,4,12,12829.75,0.5225,0.0,8.4775,0.165
54,Creative 55,1,1,12,0,1,0,8,0,0,5,0.0,7,0,8,6,4,12,2805.0,0.516,0.466,84.84,0.136
55,Creative 56,1,1,13,0,1,0,8,0,0,5,0.0,7,0,8,6,4,12,604.0,0.22199999999999998,0.0,12.716,0.022
56,Creative 57,1,0,11,0,3,0,9,6,1,2,20.0,1,0,8,4,4,12,289.6,0.434,1.6760000000000002,164.63,0.258
57,Creative 58,0,2,10,0,1,0,8,0,0,5,,7,0,6,2,6,1,8.0,0.08,0.0,0.0,0.16
58,Creative 59,0,2,10,0,1,0,8,0,0,5,,7,0,6,2,6,3,14.75,0.05,0.0,10.5475,0.3325
59,Creative 60,0,2,10,0,1,0,8,0,0,5,,7,0,6,2,6,4,3.5,0.18,42.3,0.0,0.245
60,Creative 61,0,2,10,0,1,0,8,0,0,5,,7,0,6,2,6,5,5.75,0.04,11.7375,9.1225,0.18
61,Creative 62,0,2,10,0,1,0,8,0,0,5,,7,0,6,2,6,9,8.25,0.135,0.0,21.46,0.225
62,Creative 63,0,2,10,0,3,0,8,6,1,5,20.0,7,0,6,2,6,1,18.666666666666668,0.03333333333333333,0.0,15.153333333333334,0.2333333333333333
63,Creative 64,0,2,10,0,3,0,8,6,1,5,20.0,7,0,6,2,6,3,72.0,0.02,0.0,5.346666666666667,0.24666666666666667
64,Creative 65,0,2,10,0,3,0,8,6,1,5,20.0,7,0,6,2,6,4,7.333333333333333,0.07666666666666666,0.0,0.0,0.24
65,Creative 66,0,2,10,0,3,0,8,6,1,5,20.0,7,0,6,2,6,5,25.666666666666668,0.09000000000000001,0.0,2.6166666666666667,0.17666666666666667
