,0
Creative ID,13271
channel,13271
funnel,13271
publisher,13271
lob,13271
product,13271
theme,13271
kpi_audience,13271
creative_versions,13271
price,13271
price_placement,2464
discount,10034
offer_placement,2464
offer_group,13271
asset_type,13271
video_type,13179
length,13271
size,10814
2019-12-30-Spend,92
2020-1-6-Spend,127
2020-1-13-Spend,93
2020-1-20-Spend,96
2020-1-27-Spend,273
2020-2-3-Spend,245
2020-2-10-Spend,241
2020-2-17-Spend,220
2020-2-24-Spend,208
2020-3-2-Spend,152
2020-3-9-Spend,138
2020-3-16-Spend,137
2020-4-13-Spend,87
2020-4-20-Spend,109
2020-4-27-Spend,246
2020-5-4-Spend,180
2020-5-11-Spend,176
2020-5-18-Spend,182
2020-5-25-Spend,361
2020-6-1-Spend,394
2020-6-8-Spend,335
2020-6-15-Spend,318
2020-6-22-Spend,302
2020-6-29-Spend,381
2020-7-6-Spend,275
2020-7-13-Spend,297
2020-7-20-Spend,301
2020-7-27-Spend,355
2020-8-3-Spend,401
2020-8-10-Spend,368
2020-8-17-Spend,362
2020-8-24-Spend,357
2020-8-31-Spend,403
2020-9-7-Spend,533
2020-9-14-Spend,365
2020-9-21-Spend,318
2020-9-28-Spend,407
2020-10-5-Spend,454
2020-10-12-Spend,234
2020-10-19-Spend,226
2020-10-26-Spend,250
2020-11-2-Spend,209
2020-11-9-Spend,214
2020-11-16-Spend,290
2020-11-23-Spend,226
2020-11-30-Spend,155
2020-12-7-Spend,151
2020-12-14-Spend,152
2020-12-21-Spend,157
2020-12-28-Spend,435
2021-1-4-Spend,257
2021-1-11-Spend,228
2021-1-18-Spend,214
2021-1-25-Spend,251
2021-2-1-Spend,245
2021-2-8-Spend,302
2021-2-15-Spend,277
2021-2-22-Spend,417
2021-3-1-Spend,445
2021-3-8-Spend,372
2021-3-15-Spend,418
2021-3-22-Spend,373
2021-3-29-Spend,859
2021-4-5-Spend,870
2021-4-12-Spend,866
2021-4-19-Spend,920
2021-4-26-Spend,883
2021-5-3-Spend,1017
2021-5-10-Spend,965
2021-5-17-Spend,906
