,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,205,317,417,403,797,"41,890","83,865","68,932","7,236",111,117,229,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,653,302,530,296,381,160,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"1,709","1,285","1,374","1,604","2,292","1,202",957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,156,132,113,135,218,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"1,470","1,240","1,278","1,455","1,840","1,250",798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,401,363,381,374,583,343,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,164,128,133,139,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,150,130,137,162,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"63,550","125,249","107,590","117,234","119,314","127,372","133,784","131,902","33,827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"27,381","46,901","43,107","39,422","41,999","49,238","44,079","47,429","7,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"2,676","5,540","5,971","6,365","7,127","8,255","8,097","8,131","1,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,229,432,546,516,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,292,703,754,700,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,441,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,733,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"106,702","129,757","118,668","95,702","102,915","88,063","117,769","109,286","47,878","23,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"21,591","34,443","37,725","37,859","35,647","34,517","33,056","27,335","60,278","10,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"3,026","6,414","6,487","23,772","2,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"3,502","4,629","4,576","4,955","5,775","2,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"1,953","2,944","2,534","2,105",674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,81,251,247,183,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,118,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,125,260,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,941,"1,573",918,668,596,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,172,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,713,"1,361",967,785,754,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,219,420,235,216,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"1,667","2,302","2,471","2,302","1,045",206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"1,469","2,467","3,205","2,635","1,277",267,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"85,228","925,150","924,173","905,309","813,720","846,135","915,274","877,704","834,082","482,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"47,082","504,534","745,390","689,025","398,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"26,702","945,041","2,311,565","2,222,217","2,305,672","2,290,764","2,103,108","1,703,737","1,501,576","756,157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"426,905","429,388","450,908","454,698","379,243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"3,981","199,282","201,579","221,625","182,907","181,775","191,029","164,994","148,037","81,387","65,510","73,276","80,545","57,021","36,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"3,456","2,198",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,45,"5,844","16,430","14,956","20,398","30,429","15,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"1,378","1,235",866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"5,172","5,499","3,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,419,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"2,270","4,201","3,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"1,318","1,476",996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,231,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"10,151","12,271","21,197","197,988","112,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"19,481","52,067","60,433","28,821","246,659","56,182","19,532","6,956","1,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"218,540","592,870","569,859","546,247","576,391","374,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"221,462","581,759","562,215","444,056","334,273","279,211","206,370","238,733","165,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"15,659","50,680","41,580","50,710","33,706","23,593","25,513","26,032","20,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"166,380","557,153","653,005","523,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"107,119","189,038","253,949","269,623","187,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"12,499","22,464","26,804","25,945","20,996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"11,602","5,587","8,989","18,859","13,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"3,434","1,875",698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"7,514","4,080","2,081","1,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"1,066",555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"2,801","1,374","1,135",728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"4,412","2,235",775,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"3,240","8,966","2,313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"12,790","30,754","8,419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"1,238","2,612",679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"4,860","9,620","1,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"3,326","7,334","2,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
